ProductID,text
680,"Product HL Road Frame - Black, 58 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 0, dtype: object of Subcategory Road Frames with Color Black"
706,"Product HL Road Frame - Red, 58 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 1, dtype: object of Subcategory Road Frames with Color Red"
707,"Product Sport-100 Helmet, Red of Category ProductCategoryName    Accessories
ProductCategoryName    Accessories
Name: 2, dtype: object of Subcategory Helmets with Color Red"
708,"Product Sport-100 Helmet, Black of Category ProductCategoryName    Accessories
ProductCategoryName    Accessories
Name: 3, dtype: object of Subcategory Helmets with Color Black"
709,"Product Mountain Bike Socks, M of Category ProductCategoryName    Clothing
ProductCategoryName    Clothing
Name: 4, dtype: object of Subcategory Socks with Color White"
710,"Product Mountain Bike Socks, L of Category ProductCategoryName    Clothing
ProductCategoryName    Clothing
Name: 5, dtype: object of Subcategory Socks with Color White"
711,"Product Sport-100 Helmet, Blue of Category ProductCategoryName    Accessories
ProductCategoryName    Accessories
Name: 6, dtype: object of Subcategory Helmets with Color Blue"
712,"Product AWC Logo Cap of Category ProductCategoryName    Clothing
ProductCategoryName    Clothing
Name: 7, dtype: object of Subcategory Caps with Color Multi"
713,"Product Long-Sleeve Logo Jersey, S of Category ProductCategoryName    Clothing
ProductCategoryName    Clothing
Name: 8, dtype: object of Subcategory Jerseys with Color Multi"
714,"Product Long-Sleeve Logo Jersey, M of Category ProductCategoryName    Clothing
ProductCategoryName    Clothing
Name: 9, dtype: object of Subcategory Jerseys with Color Multi"
715,"Product Long-Sleeve Logo Jersey, L of Category ProductCategoryName    Clothing
ProductCategoryName    Clothing
Name: 10, dtype: object of Subcategory Jerseys with Color Multi"
716,"Product Long-Sleeve Logo Jersey, XL of Category ProductCategoryName    Clothing
ProductCategoryName    Clothing
Name: 11, dtype: object of Subcategory Jerseys with Color Multi"
717,"Product HL Road Frame - Red, 62 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 12, dtype: object of Subcategory Road Frames with Color Red"
718,"Product HL Road Frame - Red, 44 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 13, dtype: object of Subcategory Road Frames with Color Red"
719,"Product HL Road Frame - Red, 48 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 14, dtype: object of Subcategory Road Frames with Color Red"
720,"Product HL Road Frame - Red, 52 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 15, dtype: object of Subcategory Road Frames with Color Red"
721,"Product HL Road Frame - Red, 56 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 16, dtype: object of Subcategory Road Frames with Color Red"
722,"Product LL Road Frame - Black, 58 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 17, dtype: object of Subcategory Road Frames with Color Black"
723,"Product LL Road Frame - Black, 60 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 18, dtype: object of Subcategory Road Frames with Color Black"
724,"Product LL Road Frame - Black, 62 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 19, dtype: object of Subcategory Road Frames with Color Black"
725,"Product LL Road Frame - Red, 44 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 20, dtype: object of Subcategory Road Frames with Color Red"
726,"Product LL Road Frame - Red, 48 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 21, dtype: object of Subcategory Road Frames with Color Red"
727,"Product LL Road Frame - Red, 52 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 22, dtype: object of Subcategory Road Frames with Color Red"
728,"Product LL Road Frame - Red, 58 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 23, dtype: object of Subcategory Road Frames with Color Red"
729,"Product LL Road Frame - Red, 60 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 24, dtype: object of Subcategory Road Frames with Color Red"
730,"Product LL Road Frame - Red, 62 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 25, dtype: object of Subcategory Road Frames with Color Red"
731,"Product ML Road Frame - Red, 44 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 26, dtype: object of Subcategory Road Frames with Color Red"
732,"Product ML Road Frame - Red, 48 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 27, dtype: object of Subcategory Road Frames with Color Red"
733,"Product ML Road Frame - Red, 52 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 28, dtype: object of Subcategory Road Frames with Color Red"
734,"Product ML Road Frame - Red, 58 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 29, dtype: object of Subcategory Road Frames with Color Red"
735,"Product ML Road Frame - Red, 60 of Category ProductCategoryName    Components
ProductCategoryName    Components
Name: 30, dtype: object of Subcategory Road Frames with Color Red"
